date;pib;incerteza
01/02/2013;2,263234975;96,47892956
01/03/2013;2,197202291;97,54595317
01/04/2013;2,758021791;98,81592675
01/05/2013;2,836427023;97,89412097
01/06/2013;2,975832909;109,6789945
01/07/2013;2,951484554;109,0153836
01/08/2013;2,808312935;101,0660286
01/09/2013;3,038385838;103,6591072
01/10/2013;3,003990998;98,91629025
01/11/2013;3,091679808;93,85656189
01/12/2013;3,00482267;91,02166493
01/01/2014;2,918027424;95,98700479
01/02/2014;3,208634646;100,62407
01/03/2014;3,196613671;101,5762602
01/04/2014;2,535414134;103,8754586
01/05/2014;2,433462846;91,48912121
01/06/2014;2,057633234;103,4037757
01/07/2014;1,739886972;95,48414424
01/08/2014;1,436294329;105,6305976
01/09/2014;1,176757714;106,1835343
01/10/2014;0,875953252;107,9010959
01/11/2014;0,549294756;107,4396996
01/12/2014;0,50395574;109,3069964
01/01/2015;0,120823117;109,813992
01/02/2015;-0,662707143;103,0071689
01/03/2015;-0,757908551;117,4185799
01/04/2015;-0,974796275;116,8908067
01/05/2015;-1,381021341;116,822797
01/06/2015;-1,295412516;124,0112933
01/07/2015;-1,543227928;136,2585613
01/08/2015;-1,665990545;143,8291369
01/09/2015;-2,151644047;145,6816192
01/10/2015;-2,607733282;132,3181654
01/11/2015;-2,968138813;122,6517696
01/12/2015;-3,463596333;124,9282904
01/01/2016;-3,815625718;124,8927062
01/02/2016;-3,777034319;128,7908976
01/03/2016;-4,307395098;136,2316773
01/04/2016;-4,400599813;141,5606336
01/05/2016;-4,424018146;136,0842762
01/06/2016;-4,513881247;137,8585615
01/07/2016;-4,543824821;137,9580335
01/08/2016;-4,414373514;124,4459994
01/09/2016;-4,244675338;120,6344747
