;receita;despesa;dlsp;dbgg
mai/10;1037421,721;967982,5873;38,97827936;55,96153991
jun/10;1042308,078;970863,3905;38,88711536;55,78400557
jul/10;1049863,265;979637,7808;38,99827629;55,53949007
ago/10;1056956,684;986013,6726;38,76543262;54,98514981
set/10;1181955,044;1059153,834;38,22392804;54,8944772
out/10;1184484,502;1067735,399;37,87765401;55,05809803
nov/10;1174198,547;1072726,756;37,74377011;54,6145291
dez/10;1191674,204;1072086,556;37,97936916;51,76533358
jan/11;1205873,602;1087020,41;37,55868111;52,3864212
fev/11;1211343,347;1086963,031;37,47811976;52,35532351
mar/11;1219949,32;1075567,734;37,53607764;52,61685311
abr/11;1226543,297;1085234,079;37,42770703;52,62712756
mai/11;1232068,233;1084036,76;37,28470218;52,25911066
jun/11;1255184,52;1093061,739;37,09132087;52,36187084
jul/11;1275280,022;1098173,899;36,80705975;52,50203534
ago/11;1273597,01;1098982,746;36,53377395;52,266964
set/11;1173154,095;1030340,356;34,67790283;52,12449494
out/11;1180435,085;1033169,058;35,65555435;51,71316967
nov/11;1183603,118;1031279,542;34,77300672;51,77502303
dez/11;1177492,454;1043492,218;34,49165227;51,29810596
jan/12;1186323,135;1044385,16;35,04329738;51,88935403
fev/12;1193830,384;1048160,872;35,21755023;52,31787782
mar/12;1200284,985;1057094,552;34,29637442;52,76932909
abr/12;1203331,194;1067139,654;33,52608559;53,25689174
mai/12;1205283,756;1072612,986;32,78366333;53,29426719
jun/12;1194810,887;1075723,531;32,82910984;53,49300965
jul/12;1188047,223;1079702,397;32,55916903;53,6736812
ago/12;1192906,972;1086001,724;32,65001402;53,41534928
set/12;1191195,738;1090302,91;32,67933747;54,14182351
out/12;1193820,125;1096129,376;32,5142877;54,65167039
nov/12;1191908,264;1106553,009;32,16266304;54,78970453
dez/12;1202779,779;1099630,115;32,25366498;53,76598275
jan/13;1214278,597;1105661,165;32,21336246;54,05848611
fev/13;1203240,424;1110637,816;32,62941542;54,09100985
mar/13;1192930,42;1110464,923;32,45321588;54,14444738
abr/13;1198281,119;1121731,175;32,21251375;53,90781253
mai/13;1205391,24;1123633,273;31,58364979;54,05803398
jun/13;1211893,418;1130022,995;31,23875421;53,68820642
jul/13;1217106,251;1135867,554;30,84331886;53,77770069
ago/13;1218848,257;1139653,234;30,6319678;53,53493653
set/13;1216536,683;1152192,722;31,57079485;53,04080941
out/13;1221443,343;1163059,345;31,67868428;53,2014526
nov/13;1268590,468;1168138,479;30,6505221;52,85254232
dez/13;1268324,476;1170513,544;30,59058838;51,68851623
jan/14;1264634,261;1185011,46;30,10685406;52,80818954
fev/14;1275697,502;1191315,577;30,4906622;52,06523003
mar/14;1285635,074;1197736,609;30,95991695;52,08272101
abr/14;1283886,75;1185340,432;30,97884021;52,33334635
mai/14;1274560,198;1196214,327;31,3286005;52,5659601
jun/14;1272089,173;1197693,904;31,7697547;53,23727939
jul/14;1268240,475;1201290,82;31,95461648;53,76791482
ago/14;1273828,292;1219481,623;32,52682137;54,45998616
set/14;1273652,87;1230335,245;32,4914527;55,83060807
out/14;1271637,2;1230511,425;32,67739408;56,21072837
nov/14;1234555,336;1237580,245;32,66037726;56,84251769
dez/14;1225025,569;1244772,425;33,11138862;57,18782906
jan/15;1216595,272;1240432,767;33,04547234;58,11986423
fev/15;1214874,901;1243355,354;32,84975814;59,27248918
mar/15;1210454,204;1241135,503;32,11264218;60,48703479
abr/15;1208072,559;1247575,559;32,88044651;60,08999741
mai/15;1209199,368;1245091,8;32,9273218;61,20831263
jun/15;1204544,213;1247196,278;33,78591254;61,76796978
jul/15;1198259,278;1246069,804;33,46268694;63,20854833
ago/15;1185695,197;1226548,01;33,0166048;64,04567987
set/15;1182754,757;1206802,097;32,55168795;64,71081339
out/15;1168701,112;1210611,997;33,59518881;64,95769262
nov/15;1149702,633;1206347,956;34,43299766;65,29382724
dez/15;1147948,271;1270708,212;36,19187222;66,51935537
jan/16;1155616,463;1274939,029;35,86738311;67,50740369
fev/16;1145314,576;1281984,97;36,83065244;67,6612702
mar/16;1139410,774;1285887,189;38,94848082;67,39806756
abr/16;1131671,103;1279355,518;39,5651182;67,81558556
mai/16;1123199,492;1277628,84;39,80216761;68,82434304
jun/16;1118460,324;1272694,499;42,04080319;68,6497329
jul/16;1111110,184;1276204,386;42,47632537;69,59707371
ago/16;1099776,912;1279713,932;43,30355335;70,13131347
