pib
100,84
100,36
104,4
103,28
104,07
105,1
106,41
107,19
104,97
106,66
106,94
105,67
105,59
106,21
106,41
108
109,92
110,42
111,54
113,02
113,49
112,99
112,14
112,43
113,96
115,58
116,95
118,32
116,88
116,47
117,66
119,09
121,3
123,76
125,51
126,6
126,28
129,25
128,17
129,35
131,63
132,17
134
135,55
138,4
140,81
141,94
144,53
146,86
149,72
151,98
145,94
143,54
146,43
150,07
153,75
156,53
158,9
160,59
162,57
164,32
166,3
166,24
166,75
166,81
167,97
170,55
171,06
171,1
174,96
175,44
175,26
176,15
173,6
173,63
174,1
172,41
168,5
165,89
163,79
163,08
162,16
